ID_NLS;RIC;INDIR_ORIG;DENOM_IMPRES;INSEGNA;INIZIO_ATT;geo_y;geo_x;location
6327;Storica Attività;P.LE SUSA,13;Cinefoto Susa S.a.s.;Cinefoto Susa;1935;9.224486342095588;45.46874480509023;(45.46874480509023, 9.224486342095588)
6399;Storica Attività;VIA QUINTOSOLE,35;Sogesqui srl;Osteria Di Quintosole;1903;9.204466968390124;45.401965649659196;(45.401965649659196, 9.204466968390124)
6331;Storica Attività;VIA ALGAROTTI,20;Ristorante Da Berti srl;Ristorante Da Berti;1843;9.196723520559608;45.488534010339116;(45.488534010339116, 9.196723520559608)
6970;Storica Attività;VIA CANONICA,87;ditta individuale;Maglieria Pisati;1928;9.1694698566904;45.48110163713663;(45.48110163713663, 9.1694698566904)
6264;Locale storico;V.LE UMBRIA,80;Trattoria Masuelli S. Marco srl;Trattoria Masuelli S. Marco;1921;9.21717855033517;45.45633117983534;(45.45633117983534, 9.21717855033517)
7543;Storica Attività;VIA VINCENZO MONTI,0034;PICCOLO IVANO;PICCOLO OROLOGERIA OREFICERIA DAL...1918;1918;9.171583789694006;45.469065529618085;(45.469065529618085, 9.171583789694006)
6756;Storica Attività;VIA VITRUVIO,9;Provini sas;Provini Longhi - Abbigliamento;1923;9.209033807858734;45.48102050742949;(45.48102050742949, 9.209033807858734)
7540;Storica Attività;VIA LUPETTA,5;OREFICERIA LUPETTA S.R.L.;OREFICERIA LUPETTA;1934;9.18655711585501;45.46174126241124;(45.46174126241124, 9.18655711585501)
6227;Negozio storico;GALLERIA VITTORIO EMANUELE,92;Centenari S.n.c. di Comini Gianni & Comini Sandra e Bibiloni Marcelo Andres;Centenari;1860;9.190138862538927;45.46628024807107;(45.46628024807107, 9.190138862538927)
6341;Storica Attività;VIA PASSARELLA,4;F.lli Freni srl Pasticceria Siciliana;Fratelli Freni - Pasticceria Siciliana;1914;9.194323118674916;45.46470010432898;(45.46470010432898, 9.194323118674916)
7280;Storica Attività;VIA FABIO FILZI,41;Parolini Mariangela;Cartoleria Parolini;1949;9.202636041310491;45.48748126908049;(45.48748126908049, 9.202636041310491)
